trabalhoCompletoEmCongresso	Carlos Augusto do Nascimento Oliveira	2016		Metodologia para Medição de Tomadas e Plugues de Acordo com o Novo Padrão Brasileiro	Congresso Nacional de Engenharia Mecânica	OLIVEIRA, CARLOS AUGUSTO DO N.; Oliveira, José Eduardo ; BANDEIRA, J. M. ; GUEDES, G. S. ; GUIMARAES, P. B. ; ARAUJO, R. P. ; ROLIM, T. L.		
trabalhoCompletoEmCongresso	Carlos Augusto do Nascimento Oliveira	2016		PLANEJAMENTO FATORIAL COMO UMA FERRAMENTA PARA AVALIAR A TRANSFORMAÇÃO DE FASE MARTENSÍTICA EM UMA LIGA DE Ti-Ni	Congresso Nacional de Engenharia Mecânica	OLIVEIRA, C. A. N.; GONZALEZ, Cezar Henrique ; ALMEIDA, D. M. M. A. ; MOURA, M. L. M.		
trabalhoCompletoEmCongresso	Carlos Augusto do Nascimento Oliveira	2016		AVALIAÇÃO DA INFLUÊNCIA DOS TRATAMENTOS TERMOMECÂNICO NAS TRANSFORMAÇÕES MARTENSÍTICAS NUMA LIGA A BASE DE COBRE COM MEMÓRIA DE FORMA	Congresso Nacional de Engenharia Mecânica	SILVA, L. C. S. ; OLIVEIRA, CARLOS AUGUSTO DO N. ; SILVA, K. C. A. ; ARAUJO FILHO, O. O.		
trabalhoCompletoEmCongresso	Carlos Augusto do Nascimento Oliveira	2016		Comportamento Eletromecânico de Monocristais de Ligas a Base de Cobre com Memória de Forma	22º Congresso Brasileiro de Engenharia e Ciência dos Materiais	GONZALEZ, Cezar Henrique ; OLIVEIRA, C. A. N. ; ARAÚJO, CARLOS JOSÉ DE ; DIAS, A. ; URTIGA FILHO, Severino Leopoldino		
trabalhoCompletoEmCongresso	Carlos Augusto do Nascimento Oliveira	2016		Estudo da Fadiga Funcional Superelástica em Atuadores da Liga Ti-Ni com Memória de Forma	22º Congresso Brasileiro de Engenharia e Ciência dos Materiais	SILVA, K. C. A. ; OLIVEIRA, C. A. N. ; GONZALEZ, C. H. ; OLIVEIRA, E. S. D ; SILVA, F. H. S		
artigoEmPeriodico	Giovanna Machado	2019	http://dx.doi.org/10.1088/1361-6528/aaf17e	New strategy to obtain high surface area anatase nanotube/AuNP photocatalyst	NANOTECHNOLOGY	SCHNEID, ANDRESSA C ; QUEVEDO, ANTONIO B ; PEREIRA, MARCELO B ; ARAÚJO, PEDRO F ; FRANCO, NOELIA ; Machado, Giovanna ; MORO, CELSO C ; DE MENEZES, ELIANA W ; COSTA, TANIA M H ; BENVENUTTI, EDILSON V	Qualis nao identificado	NANOTECHNOLOGY
artigoEmPeriodico	Giovanna Machado	2019	http://dx.doi.org/10.1016/j.scitotenv.2018.12.444	Cytotoxic and genotoxic effects of silver nanoparticles on meristematic cells of Allium cepa roots: A close analysis of particle size dependence	SCIENCE OF THE TOTAL ENVIRONMENT	SCHERER, MARISA D. ; SPOSITO, JULIANA C.V. ; FALCO, WILLIAM F. ; GRISOLIA, ALEXEIA B. ; ANDRADE, LUIS H.C. ; LIMA, SANDRO M. ; Machado, Giovanna ; NASCIMENTO, VALTER A. ; GONÇALVES, DANIEL A. ; WENDER, HEBERTON ; OLIVEIRA, SAMUEL L. ; CAIRES, ANDERSON R.L.	A1	
artigoEmPeriodico	Giovanna Machado	2019	http://dx.doi.org/10.1557/jmr.2019.23	Electrochemical single-step obtention and characterization of a biomimetic TiO <sub>2</sub> -HA NTs covered by chitosan	JOURNAL OF MATERIALS RESEARCH	GALVÃO, RHAUANE ALMEIDA ; SANTA-CRUZ, LARISSA AGOSTINHO DE ; BARRETO, PALOMA BANTIM ; HORTA, MARLA KAROLYNE DOS SANTOS ; ANDRADE, ANTONIO MARCOS HELGUEIRA DE ; MOURA, FRANCISCO JOSÉ ; AGUILAR, MARILZA SAMPAIO ; PERIPOLLI, SUZANA BOTTEGA ; CAMPOS, JOSÉ BRANT DE ; ARRUDA, ISABEL RENATA DE SOUZA ; Machado, Giovanna	B1	
artigoEmPeriodico	Giovanna Machado	2019	http://dx.doi.org/10.1016/j.mseb.2019.03.019	Self-assembly of polyhedral oligomeric silsesquioxane structures through ion exchange	Materials Science and Engineering B-Advanced Functional Solid-State Materials	LUVISON, C. ; WANKE, C. H. ; MOURA, S. ; G. Machado ; FARIAS, M. C. M. ; Bianchi, O	Qualis nao identificado	Materials Science and Engineering B-Advanced Functional Solid-State Materials
artigoEmPeriodico	Giovanna Machado	2018	http://dx.doi.org/10.1007/s11051-017-4119-9	An investigation on the preparation of nanocrystalline hydrous zirconia from zirconium tungstate	JOURNAL OF NANOPARTICLE RESEARCH	ANTUNES, M. ; PEROTTONI, C. A. ; GOUVÊA, D. ; MACHADO, G. ; ZORZI, J. E.	B1	
